NO,NAMA PENGINAPAN,BINTANG/NON BINTANG,GOLONGAN,JUMLAH KAMAR,ALAMAT,Latitude,Longitude,X,Y,,,,,,,,,,,,,,,,
150,Dusun Jogja Village Inn,Bintang,Bintang Tiga,24,"Jl. Menukan 5, Karangkajen",-7.823667183,110.3688657,430418.5941,9135143.767,,,,,,,,,,,,,,,,
151,Duta Garden Hotel,Non Bintang,Melati,18,Timuran MG 3/103,-7.816537711,110.3695116,430488.6196,9135932.088,,,,,,,,,,,,,,,,
152,Duta Guest House,Non Bintang,Pondok Wisata,25,Jl. Prawirotaman No. 26,-7.819183042,110.3709846,430651.4689,9135639.871,,,,,,,,,,,,,,,,
153,Duta Kencana Hotel,Non Bintang,Melati,14,Jl. Ireda 76,-7.813640668,110.3715104,430708.5185,9136252.705,,,,,,,,,,,,,,,,
154,Duta Wisata Hotel,Non Bintang,Melati,18,Jl. Urip Sumoharjo No. 79,-7.779464868,110.3832898,432001.7454,9140032.987,,,,,,,,,,,,,,,,
155,Duta Wisata II Hotel,Non Bintang,Melati,19,Jl. Laksda Adisucipto No. 8,-7.782961314,110.3883732,432562.8196,9139647.246,,,,,,,,,,,,,,,,
156,Dwi Warna Hotel,Non Bintang,Melati,19,Jl. S. Parman No. 46,-7.807827372,110.3532486,428694.0758,9136892.362,,,,,,,,,,,,,,,,
157,Dwijaya Wisma,Non Bintang,Melati,9,Mantrijeron MJ 3/831,-7.819531475,110.3660709,430109.772,9135600.536,,,,,,,,,,,,,,,,
158,Eclipse Hotel,Bintang,Bintang Dua,27,Jl. Prawirotaman No. 35,-7.818932554,110.3720651,430770.5552,9135667.742,,,,,,,,,,,,,,,,
159,Edelweiss Hotel,Bintang,Bintang Tiga,95,Jl. Gejayan No. 17 C,-7.779988163,110.3879194,432512.3006,9139975.875,,,,,,,,,,,,,,,,
